"id","vlength","fishing_day"
"1400:219:2","VL2440",343.546090432177
"1400:219:4","VL1824",36.1072908337574
"1400:219:4","VL2440",119.904321758681
"1400:229:2","VL1824",20.8311293271677
"1400:229:2","VL2440",60.9064555749854
"1400:229:4","VL1218",35.0794360267635
"1400:229:4","VL1824",8.01328472012335
"1400:229:4","VL2440",39.1028070410607
"1400:237:4","VL1218",103.033671083716
"1400:237:4","VL1824",12.7121921863035
"1400:238:3","VL1824",8.08018961541948
"1400:239:2","VL1218",89.5783741915493
"1400:239:2","VL1824",29.738365922803
"1400:239:3","VL1218",90.2636498248581
"1400:239:3","VL1824",17.1939480160749
"1400:239:3","VL2440",33.6809892580565
"1400:239:4","VL1218",318.471345175383
"1400:239:4","VL1824",79.937529984735
"1400:239:4","VL2440",269.447914064451
"1400:248:1","VL1824",2.59863077970223
"1400:248:2","VL1218",60.3899151853142
"1400:248:2","VL1824",7.40822001589159
"1400:249:1","VL1218",38.4742201583856
"1400:249:1","VL1824",5.14863221148021
"1400:249:1","VL2440",13.4723957032226
"1400:249:2","VL1218",170.338945549882
"1400:249:2","VL1824",17.7265866230947
"1400:249:2","VL2440",33.6809892580565
"1401:110:3","VL1824",32.0953696300065
"1401:110:3","VL2440",77.46627529353
"1401:110:4","VL1218",72.1323986935698
"1401:110:4","VL1824",9.30036279051327
"1401:111:3","VL1218",42.27294062972
"1401:111:3","VL1824",5.15576952448315
"1401:111:3","VL2440",74.0981763677242
"1401:111:4","VL1218",42.7992747528948
"1401:111:4","VL1824",5.69901523596395
"1401:111:4","VL2440",24.5827480039321
"1401:112:1","VL1218",21.13647031486
"1401:112:1","VL1824",8.21378324971155
"1401:112:1","VL2440",198.717836622533
"1401:112:2","VL1824",8.91850083593806
"1401:112:2","VL2440",82.9249183801803
"1401:112:3","VL1218",72.8541127962367
"1401:112:3","VL1824",7.51205407721605
"1401:112:3","VL2440",405.519110667
"1401:112:4","VL1824",5.64599023336843
"1401:112:4","VL2440",23.5766924806395
"1401:120:1","VL1218",59.8693124681997
"1401:120:1","VL1824",8.36205669502715
"1401:120:1","VL2440",32.150035200872
"1401:120:2","VL1218",65.6021400078563
"1401:120:2","VL1824",7.42640388640736
"1401:120:2","VL2440",16.5441019235574
"1401:120:3","VL1218",48.398203455659
"1401:120:3","VL1824",9.53681269196695
"1401:120:3","VL2440",7.18527770838538
"1401:120:4","VL1218",80.7386909542789
"1401:120:4","VL1824",12.801352124986
"1401:120:4","VL2440",30.6871235462293
"1401:121:1","VL1218",57.7030757385101
"1401:121:1","VL1824",14.7852270232757
"1401:121:1","VL2440",43.0171231225704
"1401:121:2","VL1824",13.7205218440259
"1401:121:2","VL2440",32.838964526605
"1401:121:3","VL1218",306.982068858681
"1401:121:3","VL1824",61.0678233230025
"1401:121:3","VL2440",127.987759180615
"1401:130:1","VL1218",32.7347203808246
"1401:130:1","VL1824",7.30742790683182
"1401:130:1","VL2440",2.69447914064452
"1401:130:3","VL1218",65.5451518474754
"1401:130:3","VL1824",129.212519340803
