"","year","vlength","gear","id","species","yearly_kg","yearly_value","price"
"1",2017,"VL1218","OTB","1400:219:2","CTC",14,0,0
"2",2017,"VL1218","OTB","1400:219:2","DPS",2,36.89,18.445
"3",2017,"VL1218","OTB","1400:219:2","HKE",1,4.487,4.487
"4",2017,"VL1218","OTB","1400:219:2","HOM",1,0.914,0.914
"5",2017,"VL1218","OTB","1400:219:2","ILL",2.5,15.126,6.0504
"6",2017,"VL1218","OTB","1400:219:2","NEP",59.3333333333333,1088.21,18.3406179775281
"7",2017,"VL1218","OTB","1400:219:2","OCC",1,5.342,5.342
"8",2017,"VL1218","OTB","1400:219:2","WHB",1,1.562,1.562
"9",2017,"VL1218","OTB","1400:219:4","ARY",25.6666666666667,80.5605,3.13872077922078
"10",2017,"VL1218","OTB","1400:219:4","BOG",19.5,12.96475,0.664858974358974
"11",2017,"VL1218","OTB","1400:219:4","CTC",11.8,36.5606,3.09835593220339
"12",2017,"VL1218","OTB","1400:219:4","DAB",34.5714285714286,240.421428571429,6.95433884297521
"13",2017,"VL1218","OTB","1400:219:4","DPS",56.5,894.311833333333,15.8285280235988
"14",2017,"VL1218","OTB","1400:219:4","HKE",89.1666666666667,676.1445,7.58292897196262
"15",2017,"VL1218","OTB","1400:219:4","HOM",25.3333333333333,26.0773333333333,1.02936842105263
"16",2017,"VL1218","OTB","1400:219:4","ILL",35.1666666666667,232.555333333333,6.61294786729858
"17",2017,"VL1218","OTB","1400:219:4","MUR",20.875,137.857375,6.60394610778443
"18",2017,"VL1218","OTB","1400:219:4","NEP",478,8817.8095,18.447300209205
"19",2017,"VL1218","OTB","1400:219:4","OCC",4,32.82,8.205
"20",2017,"VL1218","OTB","1400:219:4","ROL",58.5,877.631666666667,15.0022507122507
"21",2017,"VL1218","OTB","1400:219:4","WHB",71,192.929166666667,2.71731220657277
"22",2017,"VL1218","OTB","1400:229:2","ARY",123.833333333333,387.861666666667,3.1321265141319
"23",2017,"VL1218","OTB","1400:229:2","BOG",64,41.9335,0.6552109375
"24",2017,"VL1218","OTB","1400:229:2","CTC",57.8,180.2072,3.11777162629758
"25",2017,"VL1218","OTB","1400:229:2","DAB",165.857142857143,1163.42042857143,7.01459345391904
"26",2017,"VL1218","OTB","1400:229:2","DPS",261.333333333333,4139.136,15.8385306122449
"27",2017,"VL1218","OTB","1400:229:2","HKE",427.166666666667,3240.49066666667,7.58601014436208
"28",2017,"VL1218","OTB","1400:229:2","HOM",116.666666666667,120.4605,1.03251857142857
"29",2017,"VL1218","OTB","1400:229:2","ILL",146.5,970.010166666667,6.62122980659841
"30",2017,"VL1218","OTB","1400:229:2","MUR",106.25,695.549625,6.54634941176471
"31",2017,"VL1218","OTB","1400:229:2","NEP",1009.25,18613.377,18.4427812732227
"32",2017,"VL1218","OTB","1400:229:2","ROL",280,4201.999,15.0071392857143
"33",2017,"VL1218","OTB","1400:229:2","WHB",339,921.709166666667,2.71890609636185
