"year","quarter","vlength","fishing_tech","gear","mesh_size_range","target_assemblage","metier","supra_region","sub_region","specon_tech","deep","rectangle_type","id","cscode.x","tot_fish_day","rectangle_lon","rectangle_lat","n_csq","s_csq","w_csq","e_csq","cscode.y","csq_x","csq_y","s_ices","w_ices","n_ices","e_ices","ices_x","ices_y","type","areakm2","F_AREA","F_SUBAREA","F_DIVISION","SECT_COD","TSECT_COD","SMU_NAME","SMU_NAME_F","F_GSA","F_GSA_LIB","CENTER_X","CENTER_Y","SMU_CODE"
2021,1,"VL1824","DTS","OTB","NK","NK","NK","MBS","GSA9","","","05*05","11F9","1400:219:2",20,9.75,41.25,41.5,41,9.5,10,"1400:219:2",9.75,41.25,41,9,41.5,10,9.5,41.25,"coast",2327.12,"37","37.1","37.1.3","GSA09",42,"Ligurian and North Tirrenian Sea","Ligurie et nord de la mer Tyrrhnienne","37.1.3.9","GSA 9",10.249445,42.940463,9
2021,1,"VL2440","DTS","OTB","NK","NK","NK","MBS","GSA9","","","05*05","11F9","1400:219:2",43,9.75,41.25,41.5,41,9.5,10,"1400:219:2",9.75,41.25,41,9,41.5,10,9.5,41.25,"coast",2327.12,"37","37.1","37.1.3","GSA09",42,"Ligurian and North Tirrenian Sea","Ligurie et nord de la mer Tyrrhnienne","37.1.3.9","GSA 9",10.249445,42.940463,9
2021,2,"VL1824","DTS","OTB","NK","NK","NK","MBS","GSA9","","","05*05","11F9","1400:219:2",45,9.75,41.25,41.5,41,9.5,10,"1400:219:2",9.75,41.25,41,9,41.5,10,9.5,41.25,"coast",2327.12,"37","37.1","37.1.3","GSA09",42,"Ligurian and North Tirrenian Sea","Ligurie et nord de la mer Tyrrhnienne","37.1.3.9","GSA 9",10.249445,42.940463,9
2021,2,"VL2440","DTS","OTB","NK","NK","NK","MBS","GSA9","","","05*05","11F9","1400:219:2",69,9.75,41.25,41.5,41,9.5,10,"1400:219:2",9.75,41.25,41,9,41.5,10,9.5,41.25,"coast",2327.12,"37","37.1","37.1.3","GSA09",42,"Ligurian and North Tirrenian Sea","Ligurie et nord de la mer Tyrrhnienne","37.1.3.9","GSA 9",10.249445,42.940463,9
2021,3,"VL1824","DTS","OTB","NK","NK","NK","MBS","GSA9","","","05*05","11F9","1400:219:2",52,9.75,41.25,41.5,41,9.5,10,"1400:219:2",9.75,41.25,41,9,41.5,10,9.5,41.25,"coast",2327.12,"37","37.1","37.1.3","GSA09",42,"Ligurian and North Tirrenian Sea","Ligurie et nord de la mer Tyrrhnienne","37.1.3.9","GSA 9",10.249445,42.940463,9
2021,3,"VL2440","DTS","OTB","NK","NK","NK","MBS","GSA9","","","05*05","11F9","1400:219:2",32,9.75,41.25,41.5,41,9.5,10,"1400:219:2",9.75,41.25,41,9,41.5,10,9.5,41.25,"coast",2327.12,"37","37.1","37.1.3","GSA09",42,"Ligurian and North Tirrenian Sea","Ligurie et nord de la mer Tyrrhnienne","37.1.3.9","GSA 9",10.249445,42.940463,9
2021,4,"VL1824","DTS","OTB","NK","NK","NK","MBS","GSA9","","","05*05","11F9","1400:219:2",17,9.75,41.25,41.5,41,9.5,10,"1400:219:2",9.75,41.25,41,9,41.5,10,9.5,41.25,"coast",2327.12,"37","37.1","37.1.3","GSA09",42,"Ligurian and North Tirrenian Sea","Ligurie et nord de la mer Tyrrhnienne","37.1.3.9","GSA 9",10.249445,42.940463,9
2021,4,"VL2440","DTS","OTB","NK","NK","NK","MBS","GSA9","","","05*05","11F9","1400:219:2",9,9.75,41.25,41.5,41,9.5,10,"1400:219:2",9.75,41.25,41,9,41.5,10,9.5,41.25,"coast",2327.12,"37","37.1","37.1.3","GSA09",42,"Ligurian and North Tirrenian Sea","Ligurie et nord de la mer Tyrrhnienne","37.1.3.9","GSA 9",10.249445,42.940463,9
2021,1,"VL2440","DTS","OTB","NK","NK","NK","MBS","GSA9","","","05*05","12F9","1400:219:4",17,9.75,41.75,42,41.5,9.5,10,"1400:219:4",9.75,41.75,41.5,9,42,10,9.5,41.75,"sea",2309.49,"37","37.1","37.1.3","GSA09",42,"Ligurian and North Tirrenian Sea","Ligurie et nord de la mer Tyrrhnienne","37.1.3.9","GSA 9",10.249445,42.940463,9
2021,2,"VL2440","DTS","OTB","NK","NK","NK","MBS","GSA9","","","05*05","12F9","1400:219:4",52,9.75,41.75,42,41.5,9.5,10,"1400:219:4",9.75,41.75,41.5,9,42,10,9.5,41.75,"sea",2309.49,"37","37.1","37.1.3","GSA09",42,"Ligurian and North Tirrenian Sea","Ligurie et nord de la mer Tyrrhnienne","37.1.3.9","GSA 9",10.249445,42.940463,9
2021,3,"VL1824","DTS","OTB","NK","NK","NK","MBS","GSA9","","","05*05","12F9","1400:219:4",10,9.75,41.75,42,41.5,9.5,10,"1400:219:4",9.75,41.75,41.5,9,42,10,9.5,41.75,"sea",2309.49,"37","37.1","37.1.3","GSA09",42,"Ligurian and North Tirrenian Sea","Ligurie et nord de la mer Tyrrhnienne","37.1.3.9","GSA 9",10.249445,42.940463,9
